,location,tweetcreatedts,clean_tweet,vader_score,vader_sentiment_label,sentiment
26,"Nashville, Tennessee",2020-05-28 23:45:33,Looking #podcast great advice manage #MentalHealth #COVID19? Here go! #Sleep #Nutrition #Mindfulness #HealthyEating #ChildDevelopment #StressManagement #HolisticHealth #Stress #SnellingStaffing #BetterTogether #staffing https://t.co/xaT1m0LkVE,0.3802,1,positive
27,Canada,2020-05-28 23:35:47,Helpful #steps take #manage #stress. #COVID-19 #IBD webinar 🍎 https://t.co/sc4tSZkzun,0.0,0,neutral
28,"Ottawa, Ontario, Canada",2020-05-28 23:33:42,Some #stress normal. Here aspects may need take consideration take additional steps care. #COVID-19 #IBD webinar 🍎 https://t.co/fcvygdp5Mv,0.1027,1,positive
29,Canada,2020-05-28 23:33:10,Some #stress normal. Here aspects may need take consideration take additional steps care. #COVID-19 #IBD webinar 🍎 https://t.co/fcvygdp5Mv,0.1027,1,positive
30,Canada 🇨🇦,2020-05-28 23:29:48,11 million Canadians could experience ‘high levels stress’ due COVID-19: Health Canada- #mentalhealth #stress #covid19 #Canadians https://t.co/8c42KsdcjA,-0.4215,-1,negative
31,,2020-05-28 23:28:50,Free Mental Health counseling services #mentalhealth #stopthespread #stopthestigma #coronavirus #covid19 #psychology #helpingothers #psychologist #healthcare #flattenthecurve #workfromhome #socialdistancing #staysafe #depression #anxiety #mentalhealthatwork https://t.co/59PDGBhNwb,-0.2732,-1,negative
32,Canada,2020-05-28 23:25:49,How people responding #stress #ibd #COVID-19 #IBD webinar 🍎 https://t.co/YThYJLwDS7,-0.4215,-1,negative
33,,2020-05-28 23:23:18,#Tip: #UnlockingLockdown: let others get it. The #Stress already much #bear #Hove. #BlatchingtonRoad #GeorgeStreet #ChurchRoad. Remember #Sheilded adjust #SocialDistancing first place. #Covid_19.,-0.4215,-1,negative
34,Canada,2020-05-28 23:22:06,#Anxiety #Depression levels increased since COVID-19. #COVID-19 #IBD webinar 🍎 https://t.co/k6t6pQw86H,-0.5106,-1,negative
35,,2020-05-28 23:16:39,Free Mental Health counseling services #mentalhealth #stopthespread #stopthestigma #coronavirus #covid19 #psychology #helpingothers #psychologist #healthcare #flattenthecurve #workfromhome #socialdistancing #staysafe #depression #anxiety #mentalhealthatwork https://t.co/A0ZGkW2Qpz,-0.2732,-1,negative
36,"New York, NY",2020-05-28 23:09:45,"More third Americans displayed signs clinical #anxiety, #depression since #coronavirus pandemic began https://t.co/e0yoA6bXBv",-0.6597,-1,negative
37,"Chicago, IL",2020-05-28 23:08:01,#CensusBureau survey shows heightened #anxiety #depression #coronavirus #pandemic. We help. https://t.co/igILUrJknG,-0.4019,-1,negative
38,"Wilmette, IL",2020-05-28 23:07:33,#CensusBureau survey shows heightened #anxiety #depression #coronavirus #pandemic. We help. https://t.co/igILUrJknG,-0.4019,-1,negative
39,"Davenport, FL",2020-05-28 22:59:06,No One Is Actually Learning Because We Are All Grieving https://t.co/iyL80u7SGo #schoolrubric #coronavirus #covid-19 #distancelearning #grief #stress #trauma #wellness via @atheadavis @schoolrubric https://t.co/BhZGjlXXg2,-0.886,-1,negative
40,"Portland, OR",2020-05-28 22:41:30,Dr. Horey featured KATU's AM Northwest talking TMS treatment #depression mental health matters right now. https://t.co/1piSfXPhjd . .. #mentalhealthmatters #mentalhealthawarenessmonth #tms #depression #depressiontreatment #COVID19 #stopthestigma https://t.co/QSGUXfSsWS,-0.8074,-1,negative
41,,2020-05-28 22:36:31,"Super excited share launched free online program teach hope. Hope IS strategy, known protective factor anxiety &amp; depression. Check out, tell us think, esp @Oprah's #Hope #Story #TeachHope #HopefulMinds #anxiety #depression #prevention #COVID19 https://t.co/wUEza1Kq6T https://t.co/1ZnGyPGejN",0.8807,1,positive
42,,2020-05-28 22:29:13,"""Millions people around world coping #jobloss caused #COVID19 pandemic. Whether it’s temporary permanent, unemployment lead stress, #anxiety, #depression #mentalhealth challenges."" Via @seattletimes https://t.co/SvH611PJty",-0.8689,-1,negative
43,"Louisville, KY",2020-05-28 22:28:02,Keep eye neighbor offer helping hand needed! #veterans #usacares #suicideprevention #depression #ptsd #mentalhealth #coronavirus @USACaresOrg https://t.co/fpPIsvd7bP,0.2481,1,positive
44,,2020-05-28 22:20:37,I ❤️ JESUS !!! #jesus #JesusSaves #christ #Gospel #USA #GeorgeFloyd #GeorgeFloydWasMurdered #coronavirus #Covid_19 #god #loves #forgiveness #JusticeForGeorgeFloyd #Cancer #help #healthy #Healing #strengh #minneapolisriots #stress #depression #sadness #joy #creativity #lifestyle https://t.co/OWWmUgz2oQ,0.6981,1,positive
45,,2020-05-28 22:17:51,"Penn Medicine, UnitedHealth Group create digital platform providing #mentalhealth support #healthcareworkers https://t.co/SMVopYKgMY #wellness #posttraumaticstress #anxiety #substanceuse #depression #suicide #mindfulness #telehealth #telemedicine #virtualcare #COVID19",-0.4939,-1,negative
46,a star,2020-05-28 22:13:51,DO YOU SUFFER FROM #DEPRESSION #ANXIETY #DESPAIR CAUSED BY #COVID19? Teleseminar coming up. VERY SPECIAL OFFER $7 - please message,-0.8112,-1,negative
47,"Colorado, USA",2020-05-28 22:11:00,MAY #MentalHealthAwareness Month &amp; #MentalHealth DISTRESS among Americans TRIPLED #COVID19 Pandemic! #Aspen #Breck #Vail #Colorado #Anxiety #Caregivers #Depression #FirstResponders #Unemployment #Poverty #PTSD #Suicide Learn at: https://t.co/JaMOgPA8gI https://t.co/XceXRRbY4U,-0.9662,-1,negative
48,Highgate,2020-05-28 22:10:27,"You think got bad, made aware others worse — oops! 💎 #stress #tension #mentalbreakdowns #mentalhealth #MentalHealthAwarenessWeeek #depression #depressed #SocialDistancing #COVID__19 #Covid19UK #coronavirus #Corona #anxiety https://t.co/QbCXTcfLjL",-0.9622,-1,negative
49,,2020-05-28 22:06:22,A1. #Covid19 significant impact #mentalhealth. Graphic shows common risk factors #depression - exaggerated #coronavirus #pandemic #everydayhealthchat https://t.co/rrdpo3Qibv,-0.6597,-1,negative
50,,2020-05-28 22:04:08,"With Covid-19 lockdown extending beyond 50 days, many smartphone apps offering platforms aimed helping calm nerves, lessen anxiety. But, really work. https://t.co/kJcMC73vYI #mentalhealth #apps #depression #aniexty #lockdown #covid19 https://t.co/9dtdErCbgL",-0.6542,-1,negative
51,Northern Virginia ,2020-05-28 22:01:18,"With Covid-19 lockdown extending beyond 50 days, many smartphone apps offering platforms aimed helping calm nerves, lessen anxiety. But, really work. https://t.co/kJcMC73vYI #mentalhealth #apps #depression #aniexty #lockdown #covid19 https://t.co/9dtdErCbgL",-0.6542,-1,negative
52,Cardiff,2020-05-28 21:58:09,@mihaelabucur10 @bmj_latest @Derektracy1 I started #running 2017 recovering #depression. I didn’t #run months completing @CardiffHalf &amp; started #COVID19 #lockdown began. I definitely feel benefits #mentalwellbeing. I’m 🏃‍♀️🚶‍♀️🚴‍♀️ 500 miles 10 week #fundraise @PharmaSupport https://t.co/VraRy5TzAv,0.1531,1,positive
53,"Brisbane, Australia",2020-05-28 21:54:03,Give thanks... #love #lifestyle #healthy #healing #skype #coronavirus #Covid_19 #coronavirusaustralia #VirusCorona #coronav #quarantine #India #staysafe #anger #sad #anxiety #a #depression #life #EU #Australia #Sydney #Melbourne #NSW #Brisbane #health #like #usa #uk #canada #rt https://t.co/PiEuxixAQs,0.0258,0,neutral
54,Oz,2020-05-28 21:36:10,"Didn’t sleep. Felt wicked darkness. This morning, news dear friend committed suicide. A public servant lived serve oppressed. For some, price paid extended shelter-at-home fatal. Depression hurts. #coronavirus #depression @realDonaldTrump",-0.9643,-1,negative
55,"Reno, NV",2020-05-28 21:35:56,"Super excited share launched free online program teach hope. Hope IS strategy, known protective factor anxiety &amp; depression. Check out, tell us think, esp @Oprah's #Hope #Story #TeachHope #HopefulMinds #anxiety #depression #prevention #COVID19 https://t.co/wUEza1Kq6T https://t.co/1ZnGyPGejN",0.8807,1,positive
56,New York City,2020-05-28 21:31:15,"With #Covid19, #stress, #immunesystem + #health hot topics. Addressing stress help build immune resilience. When #gut lining strong, immune system too. JOIN ME TONIGHT Facebook Live 6pm EST. Talking toxins, stress + cleansing restore health. https://t.co/hrfdZqyJD4",0.7297,1,positive
57,,2020-05-28 21:24:22,Be Smart. Be SAFE. https://t.co/VKL1ZxZSKh CLICK: https://t.co/IN9IezZ3GH #StayAtHome #CoronavirusPandemic #COVIDー19 #coronavirus #paranormal #Metaphysical #spirituality #health #depression #books #amreading #mustread #greatreads #ebooks #Reading #book #bookboost #BYNR #pray https://t.co/5gpYagosbb,0.6037,1,positive
58,,2020-05-28 21:24:17,Be SAFE. Be SMART. https://t.co/VKL1ZxZSKh TOUCH: https://t.co/IN9IezZ3GH #coronavirus #COVIDー19 #amreading #book #bookboost #books #depression #ebooks #greatreads #health #Metaphysical #spirituality #mustread #paranormal #pray #bookboost #Reading #BYNR #Prayer #COVID19 #read https://t.co/q8HeTRUXnP,0.6874,1,positive
59,,2020-05-28 21:24:11,Safety FIRST. https://t.co/VKL1ZxZSKh P U S H: https://t.co/IN9IezZ3GH #COVID2019 #LetsFightCovid19 #coronavirus #SocialDistancing #COVID19 #depression #paranormal #Metaphysical #spirituality #ebooks #book #amreading #books #greatreads #Prayer #Reading #mustread #BYNR https://t.co/L7DT7cxod8,-0.2263,-1,negative
60,,2020-05-28 21:24:06,AMEN. https://t.co/VKL1ZxZSKh Touch: https://t.co/IN9IezZ3GH #coronavirus #CoronavirusPandemic #COVID19 #Covid19Out #ChinaVirus #ChinaLiedPeopleDied #depression #HealthcareHeroes #health #PrayerRequest #amreading #books #Reading #mustread #ebook #bynr #paranormal #spirituality https://t.co/13X2KiMmhU,-0.5719,-1,negative
61,"Toronto, Ontario",2020-05-28 21:20:47,"DYK? With internet-based cognitive behavioural therapy (iCBT), eligible receive access therapists online help develop coping resilience skills &amp; strategies address symptoms #anxiety #depression. https://t.co/e327NxJ4LH #MentalHealth https://t.co/S3Cq37yvwl",-0.4019,-1,negative
62,Kenya,2020-05-28 21:15:45,Lets us help other!! #COVID19 #StayHome #StaySafe #onetripnepal #help #love #help #love #depression #sad #life #sadness #follow #depressed #anxiety #mentalhealth #support #l #cry #art #broken #hope #god #memes #crying #sadquotes #mood #rescue #alone https://t.co/0Ug6W60fKm,0.4738,1,positive
63,Kathmandu,2020-05-28 21:15:00,Lets us help other!! #COVID19 #StayHome #StaySafe #onetripnepal #help #love #help #love #depression #sad #life #sadness #follow #depressed #anxiety #mentalhealth #support #l #cry #art #broken #hope #god #memes #crying #sadquotes #mood #rescue #alone https://t.co/0Ug6W60fKm,0.4738,1,positive
64,San Francisco,2020-05-28 21:09:03,It’s important ever #BeKindtoyourMind - check tips @CDCgov cope #stress #Covid_19 https://t.co/1ZVS73lEkg https://t.co/wPasekob0n,-0.25,-1,negative
65,"Westchester, NY",2020-05-28 21:08:10,Tips On How To Manage Phasing In Stress &amp; Anxiety https://t.co/jzhJyASMxm via @YouTube. #stress #anxiety #coronavirus #pandemic #covid19 #phasingin #mindfulness #ThursdayThoughts,-0.7906,-1,negative
66,"Vancouver, BC",2020-05-28 21:05:06,"Managing Stress During COVID-19 Dr. Diana Vissers asks question: How coping pandemic? Recognize coping methods unhealthy, acknowledge healthy. #Stress #CopingWithStress #WorkWellnessInstitute https://t.co/muVfBrRzuo",-0.743,-1,negative
67,"Toronto, ON, Canada",2020-05-28 20:54:32,"We published CAN-BIND Spring 2020 #newsletter! Find latest updates depression network, COVID-19 updates, coping resources too! Read tell us think: https://t.co/dSz9K5vkmQ @OntarioBrain #depression #mentalhealth https://t.co/CVlhy0GW0V",-0.8395,-1,negative
68,"Ontario, Canada",2020-05-28 20:40:47,"DYK? With internet-based cognitive behavioural therapy (iCBT), eligible receive access therapists online help develop coping resilience skills &amp; strategies address symptoms #anxiety #depression. https://t.co/e327NxJ4LH #MentalHealth https://t.co/S3Cq37yvwl",-0.4019,-1,negative
69,"Virginia, USA",2020-05-28 20:40:13,Health Care / Front Line professionals Tennessee dealing anxiety depression issues new hotline help: 888-642-7886 7 days week 6a 10p #help #anxiety #depression #Tennessee #coronavirus,-0.296,-1,negative
70,Canada,2020-05-28 20:36:10,"We published CAN-BIND Spring 2020 #newsletter! Find latest updates depression network, COVID-19 updates, coping resources too! Read tell us think: https://t.co/dSz9K5vkmQ @OntarioBrain #depression #mentalhealth https://t.co/CVlhy0GW0V",-0.8395,-1,negative
71,,2020-05-28 20:35:01,Pandemic blues clinical depression? My latest AARP https://t.co/LLQUUONpHu #pandemicfunk #depression #COVID19 #Covid_19 #coronavirus,-0.8126,-1,negative
72,"New York, NY",2020-05-28 20:30:04,How To Reduce Covid-19 Related Stress Of Your Workforce @Forbes #stress #stressless #stressmanagement #management #emotion #health #wellness #mentalhealth #workadvice #advice #article #forbes : https://t.co/BQuF4CPZcs https://t.co/Dp9gtmHktP,-0.0258,0,neutral
73,"Chicago, Illinois",2020-05-28 20:25:56,Managing #Anxiety #Stress #COVID19 easier understand symptoms know deal them. Here 2 min video @CDCgov help. Watch video here: https://t.co/plJF3S8JWO #EmotionalComfort https://t.co/z7BvgNs2Wk,0.25,1,positive
74,,2020-05-28 20:24:52,PSI help. We offer ton resources completely free charge virtually available make use quarantine. Reach out. We you. https://t.co/pF2BeYpv4j #postpartumdepression #depression #mentalhealth #maternalmentalhealth https://t.co/E5Do38DBGo,0.4005,1,positive
75,,2020-05-28 20:24:52,[PUBLICATION] Prof. @ElHageWissam1 /Prof. Camus - Health professionals facing coronavirus disease 2019 (COVID-19) pandemic: What mental health risks? https://t.co/GR7mk1XHxx #Anxiety #COVID19 #Depression #Health #Mentalhealth #PTSD @UnivTours @CHRU_Tours @Inserm https://t.co/nZPWSL8CIo,-0.7579,-1,negative
76,,2020-05-28 20:24:42,Before #Covid19 I hardly baked. Now way taking mind things #relax. What's TTPs #stress busting? https://t.co/MYdmGNui1P,0.0258,0,neutral
77,"California, USA",2020-05-28 20:17:59,"Didn’t sleep. Felt wicked darkness. This morning, news dear friend committed suicide. A public servant lived serve oppressed. For some, price paid extended shelter-at-home fatal. Depression hurts. #coronavirus #depression @realDonaldTrump",-0.9643,-1,negative
78,"Washington, DC",2020-05-28 20:17:49,“I think always remember mental health goes hand-in-hand every part every person's life can't ignored.” Dr. Corona @Parkland @yumlish_ podcast #COVID19 #anxiety #depression. #healthfirst 🔊 -- https://t.co/YeePmjC9Fh https://t.co/fuq4g6iMqZ,-0.6597,-1,negative
79,"Bristol, VA",2020-05-28 20:17:44,Health Care / Front Line professionals Tennessee dealing anxiety depression issues new hotline help: 888-642-7886 7 days week 6a 10p #help #anxiety #depression #Tennessee #coronavirus,-0.296,-1,negative
80,"West St Paul, MN",2020-05-28 20:17:42,What worries I've wasted many years gradually recovering life long emotional #depression want give #life another shot end useless either #Covid19 get I harmed way.,-0.9287,-1,negative
81,SiriusXM,2020-05-28 20:11:21,Excited &amp; honored welcome @AmerMedicalAssn President @PatriceHarrisMD #ChiefsRounds @MarkPochapin! We'll ask one America's largest health organizations adapted #COVID pandemic. Tune hear tips managing #stress &amp; staying resilient! https://t.co/UPuIk0pdMq,0.7896,1,positive
82,"West Islip, NY",2020-05-28 20:11:06,"#mentalhealth life, #Covid_19 #pandemic It’s #MentalHealthAwarenessWeek ever people experiencing symptoms they’ve never felt like low mood #anxiety Let’s chat! #MentalHealthMatters #MHAW #BeKind #mentalillness #mentalwellbeing https://t.co/aSWu369O8Y",-0.3156,-1,negative
83,"New York, NY",2020-05-28 20:05:03,"Interesting article different phases might going #covid19. If feeling like team optimistic, energetic, top things, sync moment, alone! https://t.co/Ugn6yyCiRu #mindset #stress #teamwork",0.8016,1,positive
84,"North Miami Beach, Florida",2020-05-28 20:01:01,COVID-19 elevated stress levels among employees. Start thinking ways lower employee anxiety levels. This lead short long term morale boosts. https://t.co/72w3hqKB9o #mentalhealth #mentalillness #reopen #aptito #aptitopos #pos #covid19 #coronavirus https://t.co/ZD4kRRaVqs,-0.5267,-1,negative
85,,2020-05-28 20:00:22,Managing #Anxiety #Stress #COVID19 easier understand symptoms know deal them. Here 2 min video @CDCgov help. Watch video here: https://t.co/plJF3S8JWO #EmotionalComfort https://t.co/z7BvgNs2Wk,0.25,1,positive
86,"İstanbul, Türkiye",2020-05-28 19:46:14,A1. #Covid19 significant impact #mentalhealth. Graphic shows common risk factors #depression - exaggerated #coronavirus #pandemic #everydayhealthchat https://t.co/rrdpo3Qibv,-0.6597,-1,negative
87,,2020-05-28 19:39:09,Cavs' Kevin Love: Mental health vital COVID-19 https://t.co/GlK8Vspf5M #mentalhealth #anxiety #depression,0.25,1,positive
88,UK,2020-05-28 19:38:12,"What #medicalintutive #healer wants know right now, #howto cope #depression #anxiety #coronavirus pandemic: https://t.co/Isnq34YOJz #healing #healingthemind #naturalhealing",-0.6597,-1,negative
89,"Asheville, NC",2020-05-28 19:38:08,"What #medicalintutive #healer wants know right now, #howto cope #depression #anxiety #coronavirus pandemic: https://t.co/J3HtAeTbVR #healing #healingthemind #naturalhealing",-0.6597,-1,negative
90,"Atlanta, Georgia",2020-05-28 19:38:03,"What #medicalintutive #healer wants know right now, #howto cope #depression #anxiety #coronavirus pandemic: https://t.co/7sRupHg8CG #healing #healingthemind #naturalhealing",-0.6597,-1,negative
91,,2020-05-28 19:33:18,"I’ve made video part series created @CPFT_NHS @IaptPws @PboroMHExemplar support people #worry, #anxiety #depression, especially #covid19. It concludes #relationships episode focuses #endingrelationships https://t.co/wndrWYahWY",-0.5574,-1,negative
92,"Houston, TX - KHOU-TV",2020-05-28 19:31:50,Great reminder. #KHOU11 #Stress &amp; #COVID19 days. 📷@morgangerms https://t.co/t7GMgWhauz,0.3182,1,positive
93,"Santa Monica, CA",2020-05-28 19:07:14,"@WSJ Ok, sure, weed, also - valerian. Read this, check taking. Be safe 🙏🏽 https://t.co/bMJkL5dLKw #COVID #Anxiety #sleep #stress https://t.co/zqjazQdGSo",0.1779,1,positive
94,"Dallas, TX",2020-05-28 19:05:09,“I think always remember mental health goes hand-in-hand every part every person's life can't ignored.” Dr. Corona @Parkland @yumlish_ podcast #COVID19 #anxiety #depression. #healthfirst 🔊 -- https://t.co/YeePmjC9Fh https://t.co/fuq4g6iMqZ,-0.6597,-1,negative
95,Global,2020-05-28 19:03:57,"1/ A third Americans (since #Covid_19 )show signs clinical anxiety #depression, Census Bureau finds *Census Bureau's ""emergency coronavirus project""😶 aka 2020 Household Pulse Survey via .@CDCgov Who address #MentalHealth FUNDS❓ https://t.co/osDhX3YWIX",-0.7906,-1,negative
96,North America ,2020-05-28 19:02:55,"Staying Active amid #Coronavirus Age Can Help Manage #Depression: Study | “Focus 3 key pillars #health: #Sleep power, #food fuel, #movement medicine,” expert said. ⁦@people⁩ https://t.co/gJBT5tuos1",0.1779,1,positive
97,"Dallas, TX",2020-05-28 19:02:52,“I think always remember mental health goes hand-in-hand every part every person's life can't ignored.” Dr. Corona @Parkland @yumlish_ podcast #COVID19 #anxiety #depression. #healthfirst 🔊 -- https://t.co/MhzxNrTqfK https://t.co/KHSx7oip7d,-0.6597,-1,negative
98,Toronto Ontario Canada,2020-05-28 19:02:22,This #pathetic @CLToronto &amp; @cltbrad1 incompetence cut one key #EssentialServices causing #stress &amp; worries I #phone service #house I keep u #UPDATED @PizzaPizzaLtd gave #COVID19? If I can't https://t.co/UmfKurDiVg,-0.9287,-1,negative
99,"Ingolstadt, Germany",2020-05-28 18:58:10,To kick #PTSDAwarenessMonth next week disseminating preliminary findings using daily infographics #stress &amp; #resiliency reactions #covid19. Infographic schedule released tomorrow! Please also participate &amp; continue share https://t.co/e55kQTMKB4,0.2481,1,positive
100,"Ontario, Canada",2020-05-28 18:47:01,The Giving Voice Depression podcast's most-recent season. Give try- 18 minutes. https://t.co/TAhCB2MhFE #COVID19 #Covid_19 #COVID #mentalhealth #MentalHealthAwarenessMonth @MentalHealthAm @WUWMradio @NPRHealth #anxiety #depression #stressrelief #YouAreNotAlone https://t.co/tTaBZ9iT3m,-0.7717,-1,negative
101,"Tours, France",2020-05-28 18:46:41,[PUBLICATION] Prof. @ElHageWissam1 /Prof. Camus - Health professionals facing coronavirus disease 2019 (COVID-19) pandemic: What mental health risks? https://t.co/GR7mk1XHxx #Anxiety #COVID19 #Depression #Health #Mentalhealth #PTSD @UnivTours @CHRU_Tours @Inserm https://t.co/nZPWSL8CIo,-0.7579,-1,negative
102,Matt. 22 vs 37-40; Matt 7; Matt 7:15; Matt 25:40,2020-05-28 18:37:33,"#coronavirus #depression @FamilyAware The POTUS created economic depression delayed disorganized pandemic response. He's also placed millions us state depression, longer watching news due harmful emotional effect image/voice... https://t.co/kIzkIEWlc4",-0.9118,-1,negative
103,"Scottsdale, AZ",2020-05-28 18:36:29,"#COVID19 + #socialdistancing necessary many #patients (although states relaxed #SIP order) + #migraine cured + #isolation = increased #pain, #anxiety, #depression &amp; #suicidal thoughts. Please join #supportgroup, #phoneafriend, use #telemedicine. https://t.co/iEs5nvkfqZ",-0.7964,-1,negative
